# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
a 	啊	c=2226 d=5.69857 t=176129
a 	嗄	c=1 d=1 t=84400
a 	腌	c=1 d=1 t=83578
a 	阿	c=1 d=1 t=28621
a a 	啊啊	c=2 d=4.17146e-10 t=176129
a a a 	啊啊啊	c=6 d=1 t=128852
a a a a 	啊啊啊啊	c=0 d=0.1 t=80987
a a a a a 	啊啊啊啊啊	c=1 d=1 t=80988
a a shui dian fei 	啊啊水電費	c=1 d=4.19237e-09 t=176129
a ao de 	啊奧的	c=1 d=9.93119e-08 t=176129
a ce shi dian 	啊測試點	c=1 d=1 t=60492
a dao fu 	阿道夫	c=2 d=1 t=139440
a di 	阿迪	c=1 d=1 t=12686
a di san dai 	啊第三代	c=1 d=1 t=43080
a di san fang 	啊第三方	c=2 d=1 t=140796
a er sa si 	阿爾薩斯	c=1 d=1.10041e-08 t=176129
a fa 	阿伐	c=1 d=1 t=75683
a fa de shuo fa 	啊發的說法	c=1 d=1 t=90898
a fan da 	阿凡達	c=2 d=1 t=140854
a fei 	阿飛	c=0 d=0.1 t=43089
a fei di san fang 	阿飛第三方	c=1 d=1 t=43090
a ha ha 	啊哈哈	c=36 d=1 t=165417
a hh a 	啊哈哈啊	c=4 d=1 t=141502
a jiao 	阿嬌	c=1 d=1 t=28325
a li 	阿里	c=2 d=1 t=50030
a li yun 	阿里雲	c=15 d=1 t=119329
a niang 	阿孃	c=0 d=0.1 t=107961
ai 	哎	c=2 d=1 t=115753
ai 	唉	c=62 d=1.79453 t=176129
ai 	愛	c=10 d=1 t=146314
ai 	捱	c=1 d=1 t=150064
ai 	矮	c=1 d=1 t=101956
ai 	艾	c=1 d=1 t=124862
ai bu 	愛不	c=0 d=0.1 t=36808
ai chi 	愛喫	c=3 d=1 t=159954
ai da 	捱打	c=4 d=1 t=129592
ai gang jing ye 	愛崗敬業	c=1 d=1 t=88162
ai ge 	挨個	c=6 d=1 t=159806
ai guo 	愛國	c=1 d=1 t=35185
ai hao 	愛好	c=0 d=0.000188279 t=176129
